id;title;description;priority;is_resolved;closed_at;reopened_at;project_id
1;purple Unions monitoring;Plastic synthesize;MEDIUM;false;2021-04-01T16:16:45;2021-04-01T18:26:34;1
2;moratorium;Switchable Implementation Checking Account;LOW;true;2021-04-01T10:57:32;2021-04-01T23:26:19;2
3;Shirt Architect AGP;backing up Finland;MEDIUM;false;2021-04-01T11:29:34;2021-04-01T21:57:29;3
4;Naira;Internal PNG;MEDIUM;true;2021-04-01T15:02:29;2021-04-01T19:12:43;4
5;invoice;Montana Generic;HIGH;true;2021-04-01T13:07:48;2021-04-02T07:33:04;5
6;supply-chains;cultivate HTTP;LOW;false;2021-04-02T08:11:24;2021-04-01T22:23:53;6
7;24/365 Group Handcrafted;overriding interactive implementation;LOW;false;2021-04-02T01:45:42;2021-04-01T20:12:23;7
8;Small Plastic Salad Handmade Concrete Sausages;Cotton;MEDIUM;false;2021-04-02T00:01:56;2021-04-01T18:03:27;8
9;convergence magenta index;Vanuatu Keys transmitting;HIGH;true;2021-04-02T04:37:36;2021-04-02T04:15:51;9
10;ubiquitous;Minnesota users Fantastic Plastic Cheese;HIGH;false;2021-04-02T06:46:00;2021-04-01T12:55:05;10
